"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/07/2019","AQS","250130018","1","0.3","ppm","3","","4","17.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/08/2019","AQS","250130018","1","0.8","ppm","9","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/09/2019","AQS","250130018","1","0.7","ppm","8","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/10/2019","AQS","250130018","1","0.1","ppm","1","","9","38.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/19/2019","AQS","250130018","1","0.5","ppm","6","","10","42.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/20/2019","AQS","250130018","1","0.2","ppm","2","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/21/2019","AQS","250130018","1","0.2","ppm","2","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/22/2019","AQS","250130018","1","0.2","ppm","2","","11","46.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/25/2019","AQS","250130018","1","0.2","ppm","2","","10","42.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/26/2019","AQS","250130018","1","0.8","ppm","9","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/27/2019","AQS","250130018","1","0.8","ppm","9","","9","38.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/01/2019","AQS","250130018","1","0.4","ppm","5","","19","79.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/02/2019","AQS","250130018","1","0.5","ppm","6","","9","38.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/04/2019","AQS","250130018","1","0.7","ppm","8","","8","33.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/05/2019","AQS","250130018","1","0.7","ppm","8","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/06/2019","AQS","250130018","1","0.2","ppm","2","","10","42.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/07/2019","AQS","250130018","1","0.3","ppm","3","","4","17.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/08/2019","AQS","250130018","1","0.2","ppm","2","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/09/2019","AQS","250130018","1","0.2","ppm","2","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/10/2019","AQS","250130018","1","0.1","ppm","1","","9","38.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/18/2019","AQS","250130018","1","0.4","ppm","5","","10","42.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/19/2019","AQS","250130018","1","0.3","ppm","3","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/20/2019","AQS","250130018","1","0.5","ppm","6","","9","38.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/24/2019","AQS","250130018","1","0.4","ppm","5","","10","42.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
