"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2023","AQS","250010002","1","0.03","ppm","28","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/02/2023","AQS","250010002","1","0.026","ppm","24","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/03/2023","AQS","250010002","1","0.03","ppm","28","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/04/2023","AQS","250010002","1","0.029","ppm","27","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/05/2023","AQS","250010002","1","0.035","ppm","32","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/06/2023","AQS","250010002","1","0.033","ppm","31","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/07/2023","AQS","250010002","1","0.029","ppm","27","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/08/2023","AQS","250010002","1","0.033","ppm","31","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/09/2023","AQS","250010002","1","0.029","ppm","27","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/10/2023","AQS","250010002","1","0.035","ppm","32","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/11/2023","AQS","250010002","1","0.034","ppm","31","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/12/2023","AQS","250010002","1","0.042","ppm","39","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/13/2023","AQS","250010002","1","0.045","ppm","42","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/14/2023","AQS","250010002","1","0.036","ppm","33","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/15/2023","AQS","250010002","1","0.038","ppm","35","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/16/2023","AQS","250010002","1","0.037","ppm","34","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/17/2023","AQS","250010002","1","0.037","ppm","34","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/18/2023","AQS","250010002","1","0.025","ppm","23","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/19/2023","AQS","250010002","1","0.041","ppm","38","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/20/2023","AQS","250010002","1","0.038","ppm","35","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/21/2023","AQS","250010002","1","0.036","ppm","33","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
